Series Name,Series Code,Type,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,United Kingdom,GBR,8.02958E+11,8.24649E+11,8.33709E+11,8.74223E+11,9.23135E+11,9.428E+11,9.57578E+11,9.84158E+11,1.03802E+12,1.05815E+12,1.08681E+12,1.10859E+12,1.14879E+12,1.23281E+12,1.2121E+12,1.2039E+12,1.23767E+12,1.26692E+12,1.31003E+12,1.34602E+12,1.31669E+12,1.29926E+12,1.32645E+12,1.37453E+12,1.41124E+12,1.46204E+12,1.5207E+12,1.59008E+12,1.67009E+12,1.70819E+12,1.7215E+12,1.69925E+12,1.72126E+12,1.78134E+12,1.86957E+12,1.93563E+12,1.98625E+12,2.08318E+12,2.1508E+12,2.21413E+12,2.31431E+12,2.36964E+12,2.41014E+12,2.48771E+12,2.54558E+12,2.61661E+12,2.67391E+12,2.75228E+12,2.75092E+12,2.62473E+12,2.68406E+12,2.70691E+12,2.74828E+12,2.79551E+12,2.88385E+12,2.94558E+12,3.01057E+12,3.10159E+12,3.14971E+12,3.18928E+12,2.86882E+12,3.11391E+12,3.27427E+12,3.28316E+12,3.32014E+12
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,United States,USA,3.41453E+12,3.49306E+12,3.70614E+12,3.86921E+12,4.09363E+12,4.35562E+12,4.63873E+12,4.7547E+12,4.98293E+12,5.1374E+12,5.14853E+12,5.31805E+12,5.59754E+12,5.91356E+12,5.8816E+12,5.8695E+12,6.18575E+12,6.47179E+12,6.83002E+12,7.04626E+12,7.02817E+12,7.20652E+12,7.07658E+12,7.40096E+12,7.93653E+12,8.26745E+12,8.55372E+12,8.84922E+12,9.21885E+12,9.55739E+12,9.73764E+12,9.72709E+12,1.00697E+13,1.03468E+13,1.07637E+13,1.10526E+13,1.14696E+13,1.19797E+13,1.25168E+13,1.31161E+13,1.36509E+13,1.37814E+13,1.40157E+13,1.44076E+13,1.49619E+13,1.54831E+13,1.59143E+13,1.62332E+13,1.62516E+13,1.58329E+13,1.62596E+13,1.6514E+13,1.6892E+13,1.72497E+13,1.76851E+13,1.8206E+13,1.85373E+13,1.89928E+13,1.95563E+13,2.00616E+13,1.96276E+13,2.08161E+13,2.13391E+13,2.19553E+13,2.25685E+13
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Uruguay,URY,16784217051,17202653947,16931789757,16960651492,17374579716,17556249026,18093971641,17432305114,17761585972,18803256922,19241977028,19193542753,18940270548,18992394100,19542289357,20733765994,21549737170,21863385229,23038320348,24466492719,25896167975,26300034208,23733710676,21295214497,21051891661,21360625237,23242455371,25100256718,25471975823,25753161225,25829737832,26743802791,28865011155,29632112135,31789727752,31329539981,33077088489,35904413225,37526894199,36956130432,36242902750,34849678467,32155098813,32414038652,34036089124,36575226345,38074290289,40564924117,43475921755,45320819971,48857389210,51379472634,53197370201,55664418794,57467273108,57680327999,58655009160,59675827117,59774159518,60329073610,55890466349,59156857854,61810768801,62269484309,64204978532
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Uzbekistan,UZB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28089418035,30656392613,31604071830,32109736981,31951757074,28373160282,27720577595,26279107562,26042595592,26485319718,27862556343,29060646266,30310254055,31472652299,32783122633,34085756140,35528479188,38174995818,40828160774,43870437889,48026286798,52362657564,56578340213,60876691748,65457747965,70106848439,75222229948,80392884506,86196264755,91309557165,95322862969,1.00622E+11,1.07444E+11,1.09124E+11,1.17892E+11,1.24967E+11,1.32829E+11,1.41463E+11
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,335975592.2,297675024.1,310707107.7,316858745.2,326395018.7,357647314,361229592.9,360686074.7,350248055.1,344318765.9,349593362.8,390480753,402771675.4,413184989.6,416223750.4,454022969.1,458581110.2,469253830.8,492279237.3,498072646.9,499752612.2,529362000.2,511376489.6,484793509.6,505583079.9,525742663.3,553635028,600476412.8,617745467.6,652345340.7,672159048.9,680620638.7,701990785.3,709081226.9,712367041.4,730710779.9,759690181,786063165.3,820749507.2,844553132.9,871926684.8,828395819.8,815536673.8,857832270.2,875793075.4,884044669.6
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,"Venezuela, RB",VEN,33195620728,34255397373,37178387741,38628698490,42927819727,44714847624,45390153660,46676451168,50101210987,50454943972,54345986052,55149921447,55857387416,59828824143,61066881865,62835536182,67691302950,71936078015,73624343220,74187094675,70907044067,69993533420,71844719792,64764041716,68146604686,68737739371,72916862078,76417654524,81392715710,70063088335,74594665387,81852658918,86813216021,87052308655,85007160806,88366311675,88191409486,93810088635,94085942042,88468580251,91730367410,94843912662,86444870221,79740811158,94322699665,1.04055E+11,1.14327E+11,1.24335E+11,1.30897E+11,1.26706E+11,1.24819E+11,1.30032E+11,1.37348E+11,1.39192E+11,1.33772E+11,1.25449E+11,1.04072E+11,87762679936,70512625399,51010266125,35707915777,36049081141,38933336799,40491326652,42637366965
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Viet Nam,VNM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34363462780,35671286576,36666262767,37980187158,39930474201,42871159123,45057981855,47743817832,51871770981,56059239339,61014304827,66835362482,73077797034,79035160538,83591107164,87581401292,93525828109,99317782863,1.05595E+11,1.12881E+11,1.21388E+11,1.30549E+11,1.39659E+11,1.49616E+11,1.58087E+11,1.6662E+11,1.77322E+11,1.88694E+11,1.99081E+11,2.10137E+11,2.23633E+11,2.39258E+11,2.55265E+11,2.72981E+11,2.93359E+11,3.14948E+11,3.23972E+11,3.32246E+11,3.60611E+11,3.78876E+11,4.05743E+11
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4688209979,4669640875,4823080309,4991179562,5166120064,5373312166,5438792689,5080115795,5110412753,4691141942,3996266542,3745094984,3678637140,3663000000,3721639274,3694274280,3763664088,3873124066,3810575507,3950332444,3898534418,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5057700000,5417700000,5483500000,6287800000,7189100000,7784400000,7118400000,6455600000,5649400000,6441200000,7853400000,8740100000,8653000000,8980800000,9648000000,10477100000,11082400000,12146400000,12886900000,13492400000,13471100000,13972400000,15211000000,15426900000,15616200000,15829000000,14037400000,15021700000,15635000000,14922700000,10959600000
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23918014719,25423293506,27509935271,28610873632,30534082001,32265172489,33760652689,35526710256,37660691242,39082582125,41498634364,43077095457,44772278889,46450074455,48295394891,50995951706,52612732131,54369170289,56352323546,58531033712,63038676061,55023373390,56340077331,59057651713,58946215687,42444490074,38465266584,36514386855,36789138480,..,..,..,..,..,..
